compilador_flag,photons,time,pus,ins,ius
gcc_O1,65536, 0.179756, 0.364584, 1130162937, 6287.220190
gcc_O1,65536, 0.177830, 0.368532, 1130195016, 6355.482223
gcc_O1,65536, 0.177863, 0.368463, 1130206932, 6354.369011
gcc_O1,65536, 0.178539, 0.367069, 1130188223, 6330.220065
gcc_O1,65536, 0.178497, 0.367154, 1131332836, 6338.100207
gcc_O1,65536, 0.177910, 0.368366, 1131354691, 6359.131805
gcc_O1,65536, 0.176622, 0.371053, 1131299823, 6405.212254
gcc_O1,65536, 0.176666, 0.370961, 1131334378, 6403.819830
gcc_O1,65536, 0.177684, 0.368834, 1131325461, 6367.048040
gcc_O1,65536, 0.177968, 0.368245, 1131370784, 6357.149284
gcc_O1,65536, 0.177748, 0.368701, 1130751458, 6361.530592
gcc_O1,65536, 0.178751, 0.366634, 1130736477, 6325.780035
gcc_O1,65536, 0.179138, 0.365841, 1130743756, 6312.143415
gcc_O1,65536, 0.178794, 0.366544, 1130749448, 6324.306608
gcc_O1,65536, 0.177940, 0.368304, 1130752687, 6354.692821
gcc_O1,65536, 0.178702, 0.366733, 1129975992, 6323.241824
gcc_O1,65536, 0.177663, 0.368879, 1129975216, 6360.227430
gcc_O1,65536, 0.177977, 0.368227, 1129973894, 6348.980150
gcc_O1,65536, 0.177245, 0.369747, 1129943198, 6375.018661
gcc_O1,65536, 0.177896, 0.368395, 1129916640, 6351.563313
gcc_O1,65536, 0.177836, 0.368519, 1129973078, 6354.013836
gcc_O1,65536, 0.177436, 0.369351, 1129929639, 6368.109339
gcc_O1,65536, 0.177827, 0.368538, 1129930772, 6354.108411
gcc_O1,65536, 0.177644, 0.368918, 1129922128, 6360.611747
gcc_O1,65536, 0.177448, 0.369326, 1129934198, 6367.708296
gcc_O1,65536, 0.177655, 0.368895, 1129944690, 6360.328156
gcc_O1,65536, 0.179824, 0.364446, 1130732004, 6287.998985
gcc_O1,65536, 0.177800, 0.368594, 1130731004, 6359.576108
gcc_O1,65536, 0.177751, 0.368697, 1130726532, 6361.312126
gcc_O1,65536, 0.177821, 0.368551, 1130745784, 6358.915656
gcc_O1,65536, 0.177912, 0.368362, 1130741269, 6355.623109
gcc_O1,65536, 0.177962, 0.368258, 1130756809, 6353.912730
gcc_O1,65536, 0.177833, 0.368525, 1131287564, 6361.499724
gcc_O1,65536, 0.178540, 0.367066, 1131297830, 6336.377373
gcc_O1,65536, 0.178065, 0.368046, 1131312120, 6353.383216
gcc_O1,65536, 0.178639, 0.366864, 1131331564, 6333.073552
gcc_O1,65536, 0.188501, 0.347668, 1131412308, 6002.141841
gcc_O1,65536, 0.177389, 0.369448, 1130518139, 6373.098260
gcc_O1,65536, 0.177045, 0.370165, 1130515733, 6385.459643
gcc_O1,65536, 0.176979, 0.370304, 1130490060, 6387.703241
gcc_O1,65536, 0.176776, 0.370729, 1130488728, 6395.035263
gcc_O1,65536, 0.176928, 0.370410, 1130489614, 6389.530436
gcc_O1,65536, 0.176340, 0.371645, 1130518779, 6411.010253
gcc_O1,65536, 0.176832, 0.370611, 1130949465, 6395.612521
gcc_O1,65536, 0.177142, 0.369963, 1130959878, 6384.478825
gcc_O1,65536, 0.177030, 0.370196, 1130980882, 6388.626324
gcc_O1,65536, 0.177831, 0.368529, 1130975214, 6359.820982
gcc_O1,65536, 0.178299, 0.367562, 1130987439, 6343.208634
gcc_O1,65536, 0.177146, 0.369955, 1130980597, 6384.455335
gcc_O1,65536, 0.176768, 0.370745, 1130642383, 6396.181663
gcc_O1,65536, 0.176888, 0.370493, 1130627440, 6391.752490
gcc_O1,65536, 0.177026, 0.370206, 1130650869, 6386.927582
gcc_O1,65536, 0.177081, 0.370091, 1130657882, 6384.980784
gcc_O1,65536, 0.178900, 0.366328, 1130660859, 6320.077743
gcc_O1,65536, 0.177041, 0.370175, 1131070753, 6388.767793
